"Street","avg_median_price"
"AIRPORT BOULEVARD",275.5775
"ALBERT STREET",101.08
"ALEXANDRA ROAD",112.5875
"ANG MO KIO AVENUE 3",342.0775
"ANSON ROAD",96.4825
"BALESTIER ROAD",82.425
"BATTERY ROAD",122.22
"BAYFRONT AVENUE",469.6
"BEACH ROAD",81.2325
"BEDOK NORTH STREET 1",130.635
"BEDOK ROAD",95
"BENCOOLEN STREET",134.8425
"BIDADARI PARK DRIVE",512.1
"BRAS BASAH ROAD",174.113333333333
"BROOKE ROAD",51.52
"BUKIT TIMAH ROAD",116.775
"CAVAN ROAD",67.355
"CECIL STREET",120.7
"CENTRAL BOULEVARD",172.555
"CHANGI BUSINESS PARK CENTRAL 1",189.855
"CHANGI ROAD",72.84
"CHIN SWEE ROAD",92.22
"CHOA CHU KANG AVENUE 4",305.1125
"CHOA CHU KANG NORTH 6",232.7875
"CLAYMORE DRIVE",75.57
"CLEMENCEAU AVENUE",78.3525
"CLEMENTI AVENUE 3",127.21
"COLEMAN STREET",79.62
"COLLYER QUAY",191.475
"COMMONWEALTH AVENUE WEST",389.49
"COMPASSVALE BOW",310.533333333333
"CROSS STREET",152.32
"CUSCADEN ROAD",171.38
"EAST COAST ROAD",87.9775
"EASTWOOD ROAD",89.74
"ENG HOON STREET",93.66
"ENGGOR STREET",113.76
"EU TONG SEN STREET",85.0175
"FOCH ROAD",140.46
"GEYLANG ROAD",97.7925
"GOLDHILL PLAZA",76.7866666666667
"GOPENG STREET",110.495
"GUILLEMARD ROAD",56.755
"HANDY ROAD",87.4
"HAVELOCK ROAD",80.2425
"HIGH STREET",62.96
"HOLLAND AVENUE",143.175
"HOUGANG AVENUE 10",291.355
"HOUGANG STREET 51",95.5075
"HOUGANG STREET 91",187.285
"IRRAWADDY ROAD",162.68
"JALAN ANAK BUKIT",112.4025
"JALAN BESAR",65.7725
"JALAN JURONG KECHIL",105.8925
"JALAN LEGUNDI",151.445
"JALAN MASJID",65.68
"JALAN SULTAN",57.5475
"JELEBU ROAD",260.915
"JOO CHIAT ROAD",78.7575
"JOO KOON CIRCLE",123.42
"JURONG EAST STREET 21",195.89
"JURONG GATEWAY ROAD",265.045
"JURONG WEST CENTRAL 2",275.3175
"JURONG WEST CENTRAL 3",307.4125
"KALLANG AVENUE",117.84
"KELANTAN LANE",93.81
"KEPPEL ROAD",33.005
"KITCHENER ROAD",151.3675
"KOEK ROAD",106.1275
"LAVENDER STREET",115.386666666667
"LORONG 22 GEYLANG",64.6
"LORONG 4 TOA PAYOH",61.36
"LORONG KILAT",66.96
"LORONG LIPUT",257.58
"MACPHERSON ROAD",74.75
"MAJU AVENUE",218.75
"MARINA BOULEVARD",157.4825
"MARINA VIEW",235.4775
"MARINE PARADE ROAD",272.395
"MARITIME SQUARE",152.5475
"MARKET STREET",157.53
"MARNE ROAD",96.43
"MERCHANT ROAD",87.95
"MIDDLE ROAD",101.7425
"MOHAMED SULTAN ROAD",167.32
"MOUNTBATTEN ROAD",78.135
"NEW BRIDGE ROAD",190.725
"NEW UPPER CHANGI ROAD",276.33
"NORTH BRIDGE ROAD",160.15
"NORTH BUONA VISTA DRIVE",132.345
"NORTHPOINT DRIVE",295.5225
"OCEAN WAY",106.166666666667
"ORCHARD ROAD",144.9625
"ORCHARD TURN",429.6375
"OUTRAM ROAD",64.825
"PASIR PANJANG ROAD",91.1233333333333
"PASIR RIS CENTRAL",210.6
"PASIR RIS CLOSE",119.5925
"PAYA LEBAR ROAD",215.955
"PENANG ROAD",133.29
"PETIR ROAD",285.0875
"PUNGGOL CENTRAL",279.99
"QUEENSWAY",94.545
"RACE COURSE ROAD",85.37
"RAFFLES AVENUE",76.44
"RAFFLES BOULEVARD",103.265
"RAFFLES LINK",115.365
"RAFFLES PLACE",198.135
"RAFFLES QUAY",126.775
"RANGOON ROAD",83.115
"RIVER VALLEY ROAD",101.3225
"RIVERVALE CRESCENT",299.3
"ROBERTSON QUAY",156.9775
"ROBINSON ROAD",125.115
"ROCHOR CANAL ROAD",78.89
"ROCHOR ROAD",114.54
"SAM LEONG ROAD",75.8133333333333
"SCOTTS ROAD",118.815
"SELEGIE ROAD",80.6675
"SEMBAWANG DRIVE",229.365
"SEMBAWANG ROAD",135.955
"SENGKANG SQUARE",276.565
"SENGKANG WEST AVENUE",262.3425
"SERANGOON CENTRAL",368.69
"SERANGOON ROAD",124.52
"SHENTON WAY",83.505
"SIMS AVENUE",116.3475
"SIMS DRIVE",67.86
"SIN MING ROAD",68.635
"SINARAN DRIVE",151.9225
"SOMERSET ROAD",125.0525
"SOUTH BRIDGE ROAD",71.035
"SOUTH BUONA VISTA ROAD",57.085
"STADIUM WALK",106.9675
"STAMFORD ROAD",132.356666666667
"TAI SENG STREET",122.795
"TAI THONG CRESCENT",94.84
"TAMPINES CENTRAL 1",253.8275
"TAMPINES CENTRAL 5",310.545
"TAMPINES STREET 32",109.645
"TAN QUEE LAN STREET",206.935
"TANGLIN ROAD",145.735
"TANJONG KATONG ROAD",101.09
"TELOK AYER STREET",282.61
"TELOK KURAU ROAD",78.8375
"TEMASEK BOULEVARD",204.02
"TESSENSOHN ROAD",86.375
"THOMSON ROAD",194.3975
"TIONG BAHRU ROAD",214.9575
"TRAS STREET",109.39
"UNITY STREET",109.245
"UPPER BUKIT TIMAH ROAD",84.4025
"UPPER CIRCULAR ROAD",66.7133333333333
"UPPER CROSS STREET",73.9425
"UPPER SERANGOON ROAD",121.6775
"UPPER THOMSON ROAD",176.375
"VICTORIA STREET",180.35
"WEST COAST DRIVE",61.0725
"WEST COAST ROAD",91.605
"WILKIE ROAD",96.1633333333333
"WOODLANDS AVENUE 1",132.56
"WOODLANDS ROAD",97.0625
"WOODLANDS SQUARE",279.185
"YIO CHU KANG ROAD",70.3866666666667
"YISHUN AVENUE 2",313.2025
"YISHUN AVENUE 9",139.9325
"YISHUN CENTRAL 1",145.67
"YISHUN RING ROAD",174.783333333333
